RowNumber,Timestamp,ClientIpAddress,Protocol,ResponseType,ResponseRtt,RCODE,Domain,Type,Class,Answer
1,2026-09-10T03:19:09.5622769Z,10.10.254.144,Udp,Recursive,34.2564,NoError,auth.brava.com,A,IN,"A 16.58.9.234, A 18.118.192.215, A 77.112.33.17"
2,2026-09-10T03:19:10.7014479Z,10.10.254.144,Udp,Recursive,22.784,NoError,api-94063.brava.com,A,IN,"A 18.118.192.215, A 16.58.9.234, A 77.112.33.17"
3,2026-09-10T03:19:23.5780302Z,10.10.254.144,Udp,Cached,,NoError,auth.brava.com,A,IN,"A 16.58.9.234, A 18.118.192.215, A 77.112.33.17"
4,2026-09-10T03:19:24.6868181Z,10.10.254.144,Udp,Cached,,NoError,api-94063.brava.com,A,IN,"A 18.118.192.215, A 77.112.33.17, A 16.58.9.234"
5,2026-09-10T03:19:38.6900357Z,10.10.254.144,Udp,Cached,,NxDomain,api-94063.brava.com.lan,A,IN,
6,2026-09-10T03:19:48.5838297Z,10.10.254.144,Udp,Cached,,NoError,auth.brava.com,A,IN,"A 16.58.9.234, A 18.118.192.215, A 77.112.33.17"
7,2026-09-10T03:19:48.7615389Z,10.10.254.144,Udp,Recursive,34.175,NoError,prefs.brava.com,A,IN,"A 16.58.9.234, A 77.112.33.17, A 18.118.192.215"
8,2026-09-10T03:19:48.7642869Z,10.10.254.144,Udp,Recursive,27.6443,NoError,devicenet.brava.com,A,IN,"A 77.112.33.17, A 18.118.192.215, A 16.58.9.234"
9,2026-09-10T03:19:52.6963634Z,10.10.254.144,Udp,Cached,,NxDomain,api-94063.brava.com.lan,A,IN,
10,2026-09-10T03:19:52.8390141Z,10.10.254.144,Udp,Cached,,NoError,auth.brava.com,A,IN,"A 77.112.33.17, A 18.118.192.215, A 16.58.9.234"
11,2026-09-10T03:19:53.3032654Z,10.10.254.144,Udp,Cached,,NoError,api-94063.brava.com,A,IN,"A 18.118.192.215, A 16.58.9.234, A 77.112.33.17"
12,2026-09-10T03:19:54.0114298Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
13,2026-09-10T03:19:56.0177193Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
14,2026-09-10T03:19:59.0175598Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
15,2026-09-10T03:20:00.0221546Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
16,2026-09-10T03:20:03.0172260Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
17,2026-09-10T03:20:16.0159645Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
18,2026-09-10T03:20:33.0171688Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
19,2026-09-10T03:20:38.0170312Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
20,2026-09-10T03:20:39.0061345Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
21,2026-09-10T03:20:41.0169803Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
22,2026-09-10T03:20:42.0176908Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
23,2026-09-10T03:20:43.0168438Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
24,2026-09-10T03:20:47.0226665Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
25,2026-09-10T03:20:48.0132630Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
26,2026-09-10T03:20:50.0179082Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
27,2026-09-10T03:20:51.0170036Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
28,2026-09-10T03:20:53.0205081Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
29,2026-09-10T03:20:55.0201763Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
30,2026-09-10T03:20:55.0407358Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
31,2026-09-10T03:20:57.0177733Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
32,2026-09-10T03:20:58.0255203Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
33,2026-09-10T03:21:00.0177595Z,10.10.254.144,Udp,Cached,,NxDomain,logs.brava.com,A,IN,
